Date,ActivePower,WindSpeed,TheoreticalPower,WindDirection,PowerError,Status,WindSpeed_theta,ActivePower_theta,TheoreticalPower_theta,PowerError_theta,WindSpeed_phi,ActivePower_phi,TheoreticalPower_phi,PowerError_phi,Fuzzy_Label
02 01 2018 23:40,1795.64404296875,8.65655136108398,1925.37408203171,188.238296508789,129.73003906296003,0.0,0.3434320259331506,0.4965517798754509,0.5348261338976972,0.0360361219619333,0.4887243726460933,0.3364054801808783,0.3030791930295009,0.9304346225039102,1.0
02 01 2018 23:50,2773.291015625,10.9231195449829,3244.61717448122,179.039093017578,471.32615885622,1.0,0.4333537592935537,0.7665301869364611,0.9012825484670056,0.1309239330156166,0.395328952836964,0.1321629343161268,0.0519215050980139,0.7684655365520348,1.0
03 01 2018 00:00,2782.56811523437,10.405119895935,3019.33269562616,176.925598144531,236.76458039178988,0.5,0.4128031194966329,0.76909206933853,0.8387035265628222,0.0657679389977194,0.4156254133361337,0.1305234106599139,0.0877229368992929,0.8765811269204259,0.5
03 01 2018 00:10,2446.42407226562,9.49813079833984,2468.76137810731,174.677001953125,22.337305841690068,0.0,0.376820071479763,0.6762654808030178,0.6857670494742528,0.0062048071782472,0.4526226348882776,0.1931284291804998,0.1864035428998023,0.9876669100883196,1.0
03 01 2018 00:20,3412.39208984375,11.9302501678466,3510.68492806304,180.672500610351,98.29283821928992,0.0,0.4733097297212605,0.9430187301370409,0.9751902577952888,0.0273035661720249,0.3574878110513703,0.0293261557282777,0.0125606847779837,0.9468442102780495,0.5
03 01 2018 00:30,3255.337890625,11.0762901306152,3298.71779163661,183.875503540039,43.379901011609945,0.0,0.4394305076824734,0.8996480209616037,0.916310497676836,0.0120499725032249,0.3894383850597001,0.0528266173159794,0.0436722036562558,0.9761870009769964,0.5
03 01 2018 00:40,2796.876953125,10.4578800201416,3045.46680084979,192.191101074218,248.58984772479016,0.5,0.4148962759499308,0.7730434724202688,0.8459630002360529,0.0690527354791083,0.4135311782181652,0.1280039272076771,0.0834453343562409,0.8708150997842747,0.5
03 01 2018 00:50,2467.9541015625,9.79114913940429,2655.25524050058,197.104598999023,187.30113893807996,0.0,0.3884450105934764,0.6822110247223692,0.73757090013905,0.0520280941494666,0.4404603601442744,0.1889114805498783,0.1510321678614374,0.9010899149199436,1.0
03 01 2018 01:00,1278.88696289062,7.62648677825927,1323.91105222754,202.940505981445,45.02408933692004,0.0,0.3025661947533333,0.3538486802709615,0.3677530700632055,0.0125066914824777,0.5354306046448101,0.4772699705255957,0.4622522469699721,0.9752955875004324,1.0
03 01 2018 01:10,1042.53796386718,7.28763580322265,1150.913827836,207.387100219726,108.37586396882013,0.0,0.2891229340375928,0.2885806151600511,0.31969828551,0.0301044066580055,0.5514424165396756,0.5520953648302286,0.5154979149094644,0.9415507661875284,1.0
03 01 2018 01:20,609.076171875,6.22820901870727,703.72052690461,216.998901367187,94.64435502960998,0.0,0.2470922139786062,0.1688796112220919,0.1954779241401694,0.0262900986193361,0.6037306444399867,0.7110401967820721,0.6729710851318913,0.948766730469866,1.0
03 01 2018 01:30,175.440704345703,4.47162199020385,216.017072278726,222.509094238281,40.57636793302299,0.0,0.1774030021015937,0.0491306465721705,0.0600047422996461,0.0112712133147286,0.6986537289527205,0.9063402699507532,0.8867840116083485,0.9777088219928974,0.5
03 01 2018 01:40,112.110900878906,4.12782907485961,147.104139625711,215.451400756835,34.99323874680502,0.0,0.1637636794090808,0.0316420438989595,0.0408622610071419,0.0097203440963347,0.7185619687113205,0.9386569322448852,0.9214838263660295,0.9807464628138516,0.5
03 01 2018 01:50,271.917114257812,5.03284406661987,344.109478420821,202.510299682617,72.19236416300902,0.0,0.1996684085737882,0.0757727251501547,0.0955859662280058,0.0200534344897247,0.667127337609629,0.8591287483337551,0.8255071365013941,0.9606815999796005,0.5
03 01 2018 02:00,737.448791503906,6.26704502105712,717.843498117624,211.200302124023,19.605293386282028,0.0,0.2486329576777787,0.2043298671191631,0.1994009716993399,0.0054459148295227,0.6017517299235973,0.6606745831058168,0.6674990659431868,0.9891671650375224,1.0
03 01 2018 02:10,1375.57995605468,7.76333713531494,1397.52318976882,193.610702514648,21.94323371413998,0.0,0.3079954694624963,0.3805505685788311,0.3882008860468944,0.0060953426983722,0.5290572839842282,0.448697386042761,0.4407136748740258,0.9878831708294676,1.0
03 01 2018 02:20,1520.89001464843,8.21955204010009,1658.11911213164,172.135498046875,137.2290974832099,0.0,0.3260949183626232,0.4206781189587948,0.4605886422587888,0.038119193745336,0.5081876661358989,0.4077784216637235,0.3693109354232796,0.9265610462170356,1.0
03 01 2018 02:30,1349.11206054687,7.9748888015747,1515.64947499497,168.356903076171,166.53741444809998,0.0,0.3163883749398139,0.3732414268668276,0.4210137430541583,0.0462603929022499,0.5193084640324639,0.4564081456260592,0.4074459235710397,0.9115700198228338,1.0
03 01 2018 02:40,889.129821777343,6.79436492919921,926.044480629263,171.129501342773,36.91465885192008,0.0,0.2695533608284213,0.2462167691195173,0.257234577952573,0.0102540719033111,0.5753571781299059,0.6048572363643036,0.5907930270713938,0.979700013712407,1.0
